Active,ApsDatabaseName,SourceDirectory,TargetDirectory,DefaultSchema,ObjectType
1,NorthernEurope_EDW,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW\Statistics,dbo,Statistic
1,NorthernEurope_EDW,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW\Functions,dbo,Function
1,NorthernEurope_EDW,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW\Roles,dbo,Role
1,NorthernEurope_EDW,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW\Users,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW\Users,dbo,User

1,NorthernEurope_EDW_AutomatedTests,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_AutomatedTests\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_AutomatedTests\Tables,dbo,Table
1,NorthernEurope_EDW_AutomatedTests,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_AutomatedTests\Views,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_AutomatedTests\Views,dbo,View
1,NorthernEurope_EDW_AutomatedTests,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_AutomatedTests\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_AutomatedTests\SPs,dbo,SP
1,NorthernEurope_EDW_AutomatedTests,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_AutomatedTests\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_AutomatedTests\Indexes,dbo,Index
1,NorthernEurope_EDW_AutomatedTests,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_AutomatedTests\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_AutomatedTests\Statistics,dbo,Statistic
1,NorthernEurope_EDW_AutomatedTests,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_AutomatedTests\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_AutomatedTests\Functions,dbo,Function
1,NorthernEurope_EDW_AutomatedTests,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_AutomatedTests\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_AutomatedTests\Roles,dbo,Role
1,NorthernEurope_EDW_AutomatedTests,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_AutomatedTests\Users,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_AutomatedTests\Users,dbo,User

1,NorthernEurope_EDW_MasterData,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_MasterData\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_MasterData\Tables,dbo,Table
1,NorthernEurope_EDW_MasterData,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_MasterData\Views,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_MasterData\Views,dbo,View
1,NorthernEurope_EDW_MasterData,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_MasterData\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_MasterData\SPs,dbo,SP
1,NorthernEurope_EDW_MasterData,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_MasterData\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_MasterData\Indexes,dbo,Index
1,NorthernEurope_EDW_MasterData,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_MasterData\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_MasterData\Statistics,dbo,Statistic
1,NorthernEurope_EDW_MasterData,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_MasterData\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_MasterData\Functions,dbo,Function
1,NorthernEurope_EDW_MasterData,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_MasterData\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_MasterData\Roles,dbo,Role
1,NorthernEurope_EDW_MasterData,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW_MasterData\Users,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW_MasterData\Users,dbo,User

1,SSASLog,C:\APS2SQLDW\Output\1_CreateMPPScripts\SSASLog\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\SSASLog\Tables,dbo,Table
1,SSASLog,C:\APS2SQLDW\Output\1_CreateMPPScripts\SSASLog\Views,C:\APS2SQLDW\Output\3_FixSqlCode\SSASLog\Views,dbo,View
1,SSASLog,C:\APS2SQLDW\Output\1_CreateMPPScripts\SSASLog\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\SSASLog\SPs,dbo,SP
1,SSASLog,C:\APS2SQLDW\Output\1_CreateMPPScripts\SSASLog\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\SSASLog\Indexes,dbo,Index
1,SSASLog,C:\APS2SQLDW\Output\1_CreateMPPScripts\SSASLog\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\SSASLog\Statistics,dbo,Statistic
1,SSASLog,C:\APS2SQLDW\Output\1_CreateMPPScripts\SSASLog\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\SSASLog\Functions,dbo,Function
1,SSASLog,C:\APS2SQLDW\Output\1_CreateMPPScripts\SSASLog\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\SSASLog\Roles,dbo,Role
1,SSASLog,C:\APS2SQLDW\Output\1_CreateMPPScripts\SSASLog\Users,C:\APS2SQLDW\Output\3_FixSqlCode\SSASLog\Users,dbo,User

1,warehouse_production,C:\APS2SQLDW\Output\1_CreateMPPScripts\warehouse_production\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\warehouse_production\Tables,dbo,Table
1,warehouse_production,C:\APS2SQLDW\Output\1_CreateMPPScripts\warehouse_production\Views,C:\APS2SQLDW\Output\3_FixSqlCode\warehouse_production\Views,dbo,View
1,warehouse_production,C:\APS2SQLDW\Output\1_CreateMPPScripts\warehouse_production\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\warehouse_production\SPs,dbo,SP
1,warehouse_production,C:\APS2SQLDW\Output\1_CreateMPPScripts\warehouse_production\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\warehouse_production\Indexes,dbo,Index
1,warehouse_production,C:\APS2SQLDW\Output\1_CreateMPPScripts\warehouse_production\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\warehouse_production\Statistics,dbo,Statistic
1,warehouse_production,C:\APS2SQLDW\Output\1_CreateMPPScripts\warehouse_production\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\warehouse_production\Functions,dbo,Function
1,warehouse_production,C:\APS2SQLDW\Output\1_CreateMPPScripts\warehouse_production\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\warehouse_production\Roles,dbo,Role
1,warehouse_production,C:\APS2SQLDW\Output\1_CreateMPPScripts\warehouse_production\Users,C:\APS2SQLDW\Output\3_FixSqlCode\warehouse_production\Users,dbo,User

