Active,ApsDatabaseName,SourceDirectory,TargetDirectory,DefaultSchema,ObjectType
1,DBA_Functions,C:\APS2SQLDW\Output\1_CreateMPPScripts\DBA_Functions\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\DBA_Functions\Statistics,dbo,Statistic
1,DBA_Functions,C:\APS2SQLDW\Output\1_CreateMPPScripts\DBA_Functions\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\DBA_Functions\Functions,dbo,Function
1,DBA_Functions,C:\APS2SQLDW\Output\1_CreateMPPScripts\DBA_Functions\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\DBA_Functions\Roles,dbo,Role
1,DBA_Functions,C:\APS2SQLDW\Output\1_CreateMPPScripts\DBA_Functions\Users,C:\APS2SQLDW\Output\3_FixSqlCode\DBA_Functions\Users,dbo,User
1,PRD_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_DWH\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_DWH\Tables,dbo,Table
1,PRD_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_DWH\Views,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_DWH\Views,dbo,View
1,PRD_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_DWH\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_DWH\SPs,dbo,SP
1,PRD_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_DWH\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_DWH\Indexes,dbo,Index
1,PRD_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_DWH\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_DWH\Statistics,dbo,Statistic
1,PRD_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_DWH\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_DWH\Functions,dbo,Function
1,PRD_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_DWH\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_DWH\Roles,dbo,Role
1,PRD_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_DWH\Users,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_DWH\Users,dbo,User
1,PRD_INT,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_INT\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Tables,dbo,Table
1,PRD_INT,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_INT\Views,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Views,dbo,View
1,PRD_INT,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_INT\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\SPs,dbo,SP
1,PRD_INT,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_INT\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Indexes,dbo,Index
1,PRD_INT,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_INT\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Statistics,dbo,Statistic
1,PRD_INT,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_INT\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Functions,dbo,Function
1,PRD_INT,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_INT\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Roles,dbo,Role
1,PRD_INT,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_INT\Users,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_INT\Users,dbo,User
1,PRD_STG,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_STG\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_STG\Tables,dbo,Table
1,PRD_STG,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_STG\Views,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_STG\Views,dbo,View
1,PRD_STG,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_STG\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_STG\SPs,dbo,SP
1,PRD_STG,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_STG\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_STG\Indexes,dbo,Index
1,PRD_STG,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_STG\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_STG\Statistics,dbo,Statistic
1,PRD_STG,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_STG\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_STG\Functions,dbo,Function
1,PRD_STG,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_STG\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_STG\Roles,dbo,Role
1,PRD_STG,C:\APS2SQLDW\Output\1_CreateMPPScripts\PRD_STG\Users,C:\APS2SQLDW\Output\3_FixSqlCode\PRD_STG\Users,dbo,User
1,RPT_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\RPT_DWH\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\RPT_DWH\Tables,dbo,Table
1,RPT_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\RPT_DWH\Views,C:\APS2SQLDW\Output\3_FixSqlCode\RPT_DWH\Views,dbo,View
1,RPT_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\RPT_DWH\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\RPT_DWH\SPs,dbo,SP
1,RPT_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\RPT_DWH\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\RPT_DWH\Indexes,dbo,Index
1,RPT_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\RPT_DWH\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\RPT_DWH\Statistics,dbo,Statistic
1,RPT_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\RPT_DWH\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\RPT_DWH\Functions,dbo,Function
1,RPT_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\RPT_DWH\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\RPT_DWH\Roles,dbo,Role
1,RPT_DWH,C:\APS2SQLDW\Output\1_CreateMPPScripts\RPT_DWH\Users,C:\APS2SQLDW\Output\3_FixSqlCode\RPT_DWH\Users,dbo,User
