"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CHARACTER_OCTET_LENGTH","NUMERIC_PRECISION","NUMERIC_PRECISION_RADIX","NUMERIC_SCALE","DATETIME_PRECISION","INTERVAL_TYPE","INTERVAL_PRECISION","CHARACTER_SET_CATALOG","CHARACTER_SET_SCHEMA","CHARACTER_SET_NAME","COLLATION_CATALOG","COLLATION_SCHEMA","COLLATION_NAME","DOMAIN_CATALOG","DOMAIN_SCHEMA","DOMAIN_NAME","UDT_CATALOG","UDT_SCHEMA","UDT_NAME","SCOPE_CATALOG","SCOPE_SCHEMA","SCOPE_NAME","MAXIMUM_CARDINALITY","DTD_IDENTIFIER","IS_SELF_REFERENCING","IS_IDENTITY","IDENTITY_GENERATION","IDENTITY_START","IDENTITY_INCREMENT","IDENTITY_MAXIMUM","IDENTITY_MINIMUM","IDENTITY_CYCLE","COMMENT"
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_SITE","WEB_CITY","20","","YES","TEXT","60","240","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","ORDERS","O_ORDERKEY","1","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","CUSTOMER","C_PHONE","5","","NO","TEXT","15","60","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","NATION","N_NATIONKEY","1","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_SALES","SS_NET_PROFIT","23","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","LINEITEM","L_SUPPKEY","3","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","ORDERS","O_ORDERKEY","1","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","ITEM","I_BRAND","9","","YES","TEXT","50","200","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","DATE_DIM","D_DATE_ID","2","","NO","TEXT","16","64","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_RETURNS","CR_REFUNDED_CASH","24","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CUSTOMER_ADDRESS","CA_STATE","9","","YES","TEXT","2","8","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","ITEM","I_REC_END_DATE","4","","YES","DATE","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE","S_STORE_NAME","6","","YES","TEXT","50","200","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CALL_CENTER","CC_MANAGER","12","","YES","TEXT","40","160","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_RETURNS","SR_HDEMO_SK","6","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_RETURNS","SR_REFUNDED_CASH","17","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_RETURNS","SR_RETURN_AMT","12","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_SALES","WS_SHIP_CDEMO_SK","10","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","LINEITEM","L_ORDERKEY","1","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","CUSTOMER","C_CUSTKEY","1","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","PART","P_MFGR","3","","NO","TEXT","25","100","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","LINEITEM","L_PARTKEY","2","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","PROMOTION","P_CHANNEL_DMAIL","9","","YES","TEXT","1","4","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE_RETURNS","SR_REFUNDED_CASH","17","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","DATE_DIM","D_DOM","10","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_PAGE","WP_URL","9","","YES","TEXT","100","400","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_RETURNS","WR_ORDER_NUMBER","14","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CUSTOMER_ADDRESS","CA_ZIP","10","","YES","TEXT","10","40","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_RETURNS","SR_FEE","15","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_SALES","SS_SALES_PRICE","14","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","LINEITEM","L_TAX","8","","NO","NUMBER","","","12","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","PART","P_MFGR","3","","NO","TEXT","25","100","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_RETURNS","WR_REASON_SK","13","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","CUSTOMER","C_NAME","2","","NO","TEXT","25","100","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","PART","P_BRAND","4","","NO","TEXT","10","40","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_RETURNS","CR_REFUNDED_CUSTOMER_SK","4","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_RETURNS","CR_STORE_CREDIT","26","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE","S_CLOSED_DATE_SK","5","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE","S_MARKET_DESC","13","","YES","TEXT","100","400","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_RETURNS","WR_REFUNDED_ADDR_SK","7","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","ITEM","I_COLOR","18","","YES","TEXT","20","80","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WAREHOUSE","W_CITY","9","","YES","TEXT","60","240","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_SALES","WS_WHOLESALE_COST","20","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CALL_CENTER","CC_CLOSED_DATE_SK","5","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CALL_CENTER","CC_STREET_NAME","22","","YES","TEXT","60","240","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_RETURNS","SR_ADDR_SK","7","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","LINEITEM","L_ORDERKEY","1","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_SALES","CS_EXT_WHOLESALE_COST","25","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","PARTSUPP","PS_SUPPLYCOST","4","","NO","NUMBER","","","12","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_RETURNS","WR_REFUNDED_CDEMO_SK","5","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CUSTOMER_ADDRESS","CA_GMT_OFFSET","12","","YES","NUMBER","","","5","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE_SALES","SS_NET_PAID","21","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","CUSTOMER","C_COMMENT","8","","YES","TEXT","117","468","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_RETURNS","CR_RETURN_TAX","20","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","DATE_DIM","D_CURRENT_DAY","24","","YES","TEXT","1","4","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE_SALES","SS_CUSTOMER_SK","4","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","TIME_DIM","T_SECOND","6","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","DATE_DIM","D_QUARTER_SEQ","6","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE_SALES","SS_CDEMO_SK","5","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_RETURNS","CR_RETURN_TAX","20","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_RETURNS","WR_RETURNED_TIME_SK","2","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_SITE","WEB_COMPANY_ID","14","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_SITE","WEB_GMT_OFFSET","25","","YES","NUMBER","","","5","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","LINEITEM","L_SHIPINSTRUCT","14","","NO","TEXT","25","100","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WAREHOUSE","W_STREET_TYPE","7","","YES","TEXT","15","60","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_RETURNS","CR_REFUNDED_ADDR_SK","7","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","PART","P_BRAND","4","","NO","TEXT","10","40","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","PART","P_BRAND","4","","NO","TEXT","10","40","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","PARTSUPP","PS_COMMENT","5","","YES","TEXT","199","796","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","LINEITEM","L_COMMITDATE","12","","NO","DATE","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","PART","P_NAME","2","","NO","TEXT","55","220","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10000","PART","P_CONTAINER","7","","NO","TEXT","10","40","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_SALES","CS_SALES_PRICE","22","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","DATE_DIM","D_LAST_DOM","21","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE","S_DIVISION_NAME","16","","YES","TEXT","50","200","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE","S_STREET_TYPE","21","","YES","TEXT","15","60","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE_RETURNS","SR_HDEMO_SK","6","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_RETURNS","WR_RETURNING_CUSTOMER_SK","8","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_SITE","WEB_ZIP","23","","YES","TEXT","10","40","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_RETURNS","CR_REFUNDED_CDEMO_SK","5","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_RETURNS","WR_RETURNED_DATE_SK","1","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_SALES","WS_EXT_WHOLESALE_COST","25","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","PARTSUPP","PS_AVAILQTY","3","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE_RETURNS","SR_RETURNED_DATE_SK","1","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_SITE","WEB_MKT_ID","10","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_SITE","WEB_MKT_CLASS","11","","YES","TEXT","50","200","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_RETURNS","CR_RETURNED_TIME_SK","2","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","DATE_DIM","D_QOY","11","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","SHIP_MODE","SM_CODE","4","","YES","TEXT","10","40","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","CUSTOMER","C_PHONE","5","","NO","TEXT","15","60","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","NATION","N_NAME","2","","NO","TEXT","25","100","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","PART","P_CONTAINER","7","","NO","TEXT","10","40","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","PARTSUPP","PS_AVAILQTY","3","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","REGION","R_REGIONKEY","1","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","SUPPLIER","S_ADDRESS","3","","NO","TEXT","40","160","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_SALES","CS_ITEM_SK","16","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CUSTOMER","C_FIRST_SHIPTO_DATE_SK","6","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE_SALES","SS_ADDR_SK","7","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE_SALES","SS_NET_PROFIT","23","","YES","NUMBER","","","7","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_RETURNS","WR_RETURNING_HDEMO_SK","10","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CUSTOMER_ADDRESS","CA_COUNTY","8","","YES","TEXT","30","120","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WEB_SALES","WS_SOLD_TIME_SK","2","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF10","PART","P_COMMENT","9","","YES","TEXT","23","92","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","STORE","S_CLOSED_DATE_SK","5","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1","NATION","N_COMMENT","4","","YES","TEXT","152","608","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF100","PART","P_MFGR","3","","NO","TEXT","25","100","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
