"configuration_id","name","value","minimum","maximum","value_in_use","description","is_dynamic","is_advanced"
"1555","transform noise words","0","0","1","0","Transform noise words for full-text query","True","True"
"1556","precompute rank","0","0","1","0","Use precomputed rank for full-text query","True","True"
"1557","PH timeout (s)","60","1","3600","60","DB connection timeout for full-text protocol handler (s)","True","True"
"1562","clr enabled","0","0","1","0","CLR user code execution enabled in the server","True","False"
"1563","max full-text crawl range","4","0","256","4","Maximum  crawl ranges allowed in full-text indexing","True","True"
"1564","ft notify bandwidth (min)","0","0","32767","0","Number of reserved full-text notifications buffers","True","True"
"1565","ft notify bandwidth (max)","100","0","32767","100","Max number of full-text notifications buffers","True","True"
"1566","ft crawl bandwidth (min)","0","0","32767","0","Number of reserved full-text crawl buffers","True","True"
"1567","ft crawl bandwidth (max)","100","0","32767","100","Max number of full-text crawl buffers","True","True"
"1568","default trace enabled","1","0","1","1","Enable or disable the default trace","True","True"
"1569","blocked process threshold (s)","0","0","86400","0","Blocked process reporting threshold","True","True"
"1570","in-doubt xact resolution","0","0","2","0","Recovery policy for DTC transactions with unknown outcome","True","True"
"1576","remote admin connections","0","0","1","0","Dedicated Admin Connections are allowed from remote clients","True","False"
"1577","common criteria compliance enabled","0","0","1","0","Common Criteria compliance mode enabled","False","True"
"1578","EKM provider enabled","0","0","1","0","Enable or disable EKM provider","True","True"
"1579","backup compression default","0","0","1","0","Enable compression of backups by default","True","False"
"1580","filestream access level","0","0","2","0","Sets the FILESTREAM access level","True","False"
"1581","optimize for ad hoc workloads","0","0","1","0","When this option is set, plan cache size is further reduced for single-use adhoc OLTP workload.","True","True"
"1582","access check cache bucket count","0","0","65536","0","Default hash bucket count for the access check result security cache","True","True"
"1583","access check cache quota","0","0","2147483647","0","Default quota for the access check result security cache","True","True"
"1584","backup checksum default","0","0","1","0","Enable checksum of backups by default","True","False"
"1585","automatic soft-NUMA disabled","0","0","1","0","Automatic soft-NUMA is enabled by default","False","True"
"1586","external scripts enabled","0","0","1","0","Allows execution of external scripts","True","False"
"1587","clr strict security","1","0","1","1","CLR strict security enabled in the server","True","True"
"1588","column encryption enclave type","0","0","2","0","Type of enclave used for computations on encrypted columns","False","False"
"1589","tempdb metadata memory-optimized","0","0","1","0","Tempdb metadata memory-optimized is disabled by default.","False","True"
"1591","ADR cleaner retry timeout (min)","0","0","32767","0","ADR cleaner retry timeout.","True","True"
"1592","ADR Preallocation Factor","0","0","32767","0","ADR Preallocation Factor.","True","True"
"16384","Agent XPs","0","0","1","0","Enable or disable Agent XPs","True","True"
"16386","Database Mail XPs","0","0","1","0","Enable or disable Database Mail XPs","True","True"
"16387","SMO and DMO XPs","1","0","1","1","Enable or disable SMO and DMO XPs","True","True"
"16388","Ole Automation Procedures","0","0","1","0","Enable or disable Ole Automation Procedures","True","True"
"16390","xp_cmdshell","0","0","1","0","Enable or disable command shell","True","True"
"16391","Ad Hoc Distributed Queries","0","0","1","0","Enable or disable Ad Hoc Distributed Queries","True","True"
"16392","Replication XPs","0","0","1","0","Enable or disable Replication XPs","True","True"
"16393","contained database authentication","0","0","1","0","Enables contained databases and contained authentication","True","False"
"16394","hadoop connectivity","0","0","7","0","Configure SQL Server to connect to external Hadoop or Microsoft Azure storage blob data sources through PolyBase","False","False"
"16395","polybase network encryption","1","0","1","1","Configure SQL Server to encrypt control and data channels when using PolyBase","True","False"
"16396","remote data archive","0","0","1","0","Allow the use of the REMOTE_DATA_ARCHIVE data access for databases","True","False"
"16397","allow polybase export","0","0","1","0","Allow INSERT into a Hadoop external table","True","False"
"16398","allow filesystem enumeration","1","0","1","1","Allow enumeration of filesystem","True","True"
"16399","polybase enabled","0","0","1","0","Configure SQL Server to connect to external data sources through PolyBase","True","False"
